state/region,ages,year,population,state,area (sq. mi),인구밀도
SD,under18,2000.0,202681.0,South Dakota,77121.0,2.628090922057546
SD,total,1999.0,750413.0,South Dakota,77121.0,9.73033285356777
SD,under18,1999.0,203737.0,South Dakota,77121.0,2.6417836905641785
SD,total,2001.0,757972.0,South Dakota,77121.0,9.828347661467046
SD,under18,2001.0,200795.0,South Dakota,77121.0,2.60363584497089
SD,total,2002.0,760020.0,South Dakota,77121.0,9.854903333722332
SD,under18,2002.0,198694.0,South Dakota,77121.0,2.5763929409629025
SD,total,2004.0,770396.0,South Dakota,77121.0,9.98944515760947
SD,under18,2004.0,196804.0,South Dakota,77121.0,2.551885997328873
SD,total,2003.0,763729.0,South Dakota,77121.0,9.90299658977451
SD,under18,2003.0,197326.0,South Dakota,77121.0,2.558654581761129
SD,total,2005.0,775493.0,South Dakota,77121.0,10.055536105600291
SD,under18,2005.0,196476.0,South Dakota,77121.0,2.547632940444237
SD,total,2006.0,783033.0,South Dakota,77121.0,10.153304547399541
SD,under18,2006.0,197332.0,South Dakota,77121.0,2.558732381582189
SD,total,2008.0,799124.0,South Dakota,77121.0,10.361950700846721
SD,under18,2008.0,199848.0,South Dakota,77121.0,2.5913564398801885
SD,total,2007.0,791623.0,South Dakota,77121.0,10.264687957884364
SD,under18,2007.0,198847.0,South Dakota,77121.0,2.578376836399943
SD,under18,2013.0,207959.0,South Dakota,77121.0,2.6965288313170213
SD,total,2013.0,844877.0,South Dakota,77121.0,10.955213236342889
SD,total,2009.0,807067.0,South Dakota,77121.0,10.464944697293863
SD,under18,2009.0,201204.0,South Dakota,77121.0,2.6089391994398414
SD,total,2010.0,816211.0,South Dakota,77121.0,10.58351162458993
SD,under18,2010.0,203145.0,South Dakota,77121.0,2.6341074415528842
SD,under18,2011.0,203948.0,South Dakota,77121.0,2.644519650938136
SD,total,2011.0,823772.0,South Dakota,77121.0,10.681552365762892
SD,under18,2012.0,205298.0,South Dakota,77121.0,2.662024610676729
SD,total,2012.0,834047.0,South Dakota,77121.0,10.814784559328848
TN,total,2012.0,6454914.0,Tennessee,42146.0,153.15602904190197
TN,under18,2012.0,1492689.0,Tennessee,42146.0,35.41709770796754
TN,total,2011.0,6398361.0,Tennessee,42146.0,151.81419351777154
TN,under18,2011.0,1491837.0,Tennessee,42146.0,35.39688226640725
TN,under18,2010.0,1495090.0,Tennessee,42146.0,35.47406634081526
TN,total,2010.0,6356683.0,Tennessee,42146.0,150.82529777440325
TN,total,2009.0,6306019.0,Tennessee,42146.0,149.62319081288854
TN,under18,2009.0,1494687.0,Tennessee,42146.0,35.46450434204907
TN,total,2013.0,6495978.0,Tennessee,42146.0,154.13035638020216
TN,under18,2013.0,1491577.0,Tennessee,42146.0,35.39071323494519
TN,total,2007.0,6175727.0,Tennessee,42146.0,146.53174678498553
TN,under18,2007.0,1482747.0,Tennessee,42146.0,35.18120343567598
